week,position,performer,song,instance,previous_position,peak_position,weeks_on_chart
2018-07-21,87,Old Dominion,Hotel Key,1,93,87,2
2018-07-21,88,Tiesto & Dzeko Featuring Preme & Post Malone,Jackie Chan,1,-,88,1
2018-07-21,89,Nicki Minaj,Chun-Li,1,82,10,14
2018-07-21,90,Queen Naija,Medicine,2,85,81,6
2018-07-21,91,Carrie Underwood,Cry Pretty,3,87,87,5
2018-07-21,92,Martin Garrix Featuring Khalid,Ocean,2,-,92,2
2018-07-21,93,Drake,Peak,1,38,38,2
2018-07-21,94,Juice WRLD,Legends,2,-,94,2
2018-07-21,95,The Weeknd,Call Out My Name,1,90,4,15
2018-07-21,96,Iggy Azalea Feauring Tyga,Kream,1,-,96,1
2018-07-21,97,"Khalid, Ty Dolla $ign & 6LACK",OTW,2,-,97,11
2018-07-21,98,Clean Bandit Featuring Demi Lovato,Solo,2,-,98,2
2018-07-21,99,Becky G + Natti Natasha,Sin Pijama,2,89,83,5
2018-07-21,100,Drake,Is There More,1,36,36,2
2018-07-28,1,Drake,In My Feelings,1,1,1,3
2018-07-28,2,"Cardi B, Bad Bunny & J Balvin",I Like It,1,2,1,15
2018-07-28,3,Maroon 5 Featuring Cardi B,Girls Like You,1,3,3,8
2018-07-28,4,Drake,Nice For What,1,4,1,15
2018-07-28,5,Ella Mai,Boo'd Up,1,5,5,16
2018-07-28,6,Juice WRLD,Lucid Dreams,1,7,3,10
2018-07-28,7,Post Malone,Better Now,1,12,7,12
2018-07-28,8,Ariana Grande,No Tears Left To Cry,1,8,3,13
2018-07-28,9,Post Malone Featuring Ty Dolla $ign,Psycho,1,9,1,21
2018-07-28,10,Drake,God's Plan,1,6,1,26
2018-07-28,11,Ariana Grande,God Is A Woman,1,-,11,1
2018-07-28,12,Taylor Swift,Delicate,1,15,12,19
2018-07-28,13,Tyga Featuring Offset,Taste,1,18,13,8
2018-07-28,14,"Zedd, Maren Morris & Grey",The Middle,1,13,5,25
2018-07-28,15,XXXTENTACION,Sad!,1,10,1,20
2018-07-28,16,Lil Baby & Drake,Yes Indeed,1,17,6,10
2018-07-28,17,Bebe Rexha & Florida Georgia Line,Meant To Be,1,14,2,38
2018-07-28,18,Marshmello & Anne-Marie,Friends,1,20,11,23
2018-07-28,19,Ed Sheeran,Perfect,2,22,1,46
2018-07-28,20,Drake,Nonstop,1,11,2,3
2018-07-28,21,Khalid & Normani,Love Lies,1,25,21,22
2018-07-28,22,Bazzi,Mine,1,19,11,26
2018-07-28,23,Shawn Mendes,In My Blood,1,23,11,18
2018-07-28,24,Drake,I'm Upset,1,16,7,8
2018-07-28,25,Dan + Shay,Tequila,2,24,21,19
2018-07-28,26,Calvin Harris & Dua Lipa,One Kiss,1,29,26,15
2018-07-28,27,Selena Gomez,Back To You,1,31,22,10
2018-07-28,28,The Carters,Apes**t,1,30,13,5
2018-07-28,29,Lauv,I Like Me Better,1,33,29,23
2018-07-28,30,Camila Cabello,Never Be The Same,2,26,6,30
2018-07-28,31,Kenny Chesney,Get Along,1,35,31,15
2018-07-28,32,5 Seconds Of Summer,Youngblood,1,40,32,7
2018-07-28,33,Drake Featuring Michael Jackson,Don't Matter To Me,1,21,9,3
2018-07-28,34,Imagine Dragons,Whatever It Takes,2,27,12,25
2018-07-28,35,BlocBoy JB Featuring Drake,Look Alive,1,32,5,23
2018-07-28,36,Florida Georgia Line,Simple,1,37,36,7
2018-07-28,37,XXXTENTACION,Moonlight,3,34,13,14
2018-07-28,38,Brett Young,Mercy,1,41,38,11
2018-07-28,39,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,2,46,39,7
2018-07-28,40,Childish Gambino,This Is America,1,39,1,11
2018-07-28,41,Cardi B,Be Careful,1,36,11,16
2018-07-28,42,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,1,43,36,13
2018-07-28,43,Drake,Mob Ties,1,28,13,3
2018-07-28,44,Childish Gambino,Summertime Magic,1,-,44,1
2018-07-28,45,Jake Owen,I Was Jack (You Were Diane),1,50,45,8
2018-07-28,46,Foster The People,Sit Next To Me,1,42,42,18
2018-07-28,47,Nicky Jam x J Balvin,X,1,51,41,20
2018-07-28,48,Jason Aldean Featuring Miranda Lambert,Drowns The Whiskey,1,52,48,5
2018-07-28,49,Luke Combs,One Number Away,1,49,34,18
2018-07-28,50,twenty one pilots,Jumpsuit,1,60,50,2
2018-07-28,51,XXXTENTACION,Changes,2,47,18,14
2018-07-28,52,Nicki Minaj Featuring Ariana Grande,Bed,1,48,43,5
2018-07-28,53,Lauren Daigle,You Say,1,-,53,1
2018-07-28,54,Thomas Rhett,Life Changes,1,61,54,4
2018-07-28,55,Juice WRLD,All Girls Are The Same,1,57,41,10
2018-07-28,56,"Benny Blanco, Halsey & Khalid",Eastside,1,-,56,1
2018-07-28,57,Chris Lane Featuring Tori Kelly,Take Back Home Girl,3,70,57,7
2018-07-28,58,Drake,Emotionless,1,38,8,3
2018-07-28,59,Morgan Wallen Featuring Florida Georgia Line,Up Down,1,54,49,17
2018-07-28,60,Tiesto & Dzeko Featuring Preme & Post Malone,Jackie Chan,1,88,60,2
2018-07-28,61,Drake,Can't Take A Joke,1,45,18,3
2018-07-28,62,Keith Urban Featuring Julia Michaels,Coming Home,1,77,62,4
2018-07-28,63,Backstreet Boys,Don't Go Breaking My Heart,2,82,63,4
2018-07-28,64,Luke Bryan,"Sunrise, Sunburn, Sunset",1,81,64,3
2018-07-28,65,Alessia Cara,Growing Pains,1,86,65,3
2018-07-28,66,Clean Bandit Featuring Demi Lovato,Solo,2,98,66,3
2018-07-28,67,Drake,Elevate,1,44,14,3
2018-07-28,68,Juice WRLD Featuring Lil Uzi Vert,Wasted,1,-,68,1
2018-07-28,69,Lil Dicky Featuring Chris Brown,Freaky Friday,1,72,8,18
2018-07-28,70,Old Dominion,Hotel Key,1,87,70,3
2018-07-28,71,Eric Church,Desperate Man,1,-,71,1
2018-07-28,72,Wiz Khalifa Featuring Swae Lee,Hopeless Romantic,1,-,72,1
2018-07-28,73,Wiz Khalifa Featuring Lil Skies,Fr Fr,1,-,73,1
2018-07-28,74,Morgan Evans,Kiss Somebody,1,74,74,3
2018-07-28,75,"Khalid, Ty Dolla $ign & 6LACK",OTW,2,97,75,12
2018-07-28,76,Post Malone Featuring Nicki Minaj,Ball For Me,1,75,16,12
2018-07-28,77,Kanye West,All Mine,1,85,11,7
2018-07-28,78,Queen Naija,Medicine,2,90,78,7
2018-07-28,79,twenty one pilots,Nico And The Niners,1,-,79,1
2018-07-28,80,Drake,Blue Tint,1,55,30,3
2018-07-28,81,Carrie Underwood,Cry Pretty,3,91,81,6
2018-07-28,82,Drake Featuring Static Major & Ty Dolla $ign,After Dark,1,56,41,3
2018-07-28,83,Becky G + Natti Natasha,Sin Pijama,2,99,83,6
2018-07-28,84,lovelytheband,Broken,1,-,84,1
2018-07-28,85,Dylan Scott,Hooked,1,-,85,1
2018-07-28,86,Halsey Featuring Big Sean & Stefflon Don,Alone,2,66,66,14
2018-07-28,87,TK Kravitz Featuring Jacqueez,Ocean,1,-,87,1
2018-07-28,88,Martin Garrix Featuring Khalid,Ocean,2,92,88,3
2018-07-28,89,David Lee Murphy & Kenny Chesney,Everything's Gonna Be Alright,1,80,66,13
2018-07-28,90,G-Eazy Featuring Yo Gotti & YBN Nahmir,1942,1,-,90,1
2018-07-28,91,Cole Swindell,Break Up In The End,2,-,91,2
2018-07-28,92,Bebe Rexha,I'm A Mess,1,-,92,1
2018-07-28,93,Migos,Narcos,2,-,93,10
2018-07-28,94,Kygo Featuring Miguel,Remind Me To Forget,1,-,94,1
2018-07-28,95,The Weeknd,Call Out My Name,1,95,4,16
2018-07-28,96,A$AP Rocky Featuring Skepta,Praise The Lord (Da Shine),2,-,96,6
2018-07-28,97,Bad Wolves,Zombie,2,-,97,18
2018-07-28,98,Drake,8 Out Of 10,1,59,21,3
2018-07-28,99,Future,31 Days,1,65,65,2
2018-07-28,100,Drake Featuring JAY-Z,Talk Up,1,58,20,3
2018-08-04,1,Drake,In My Feelings,1,1,1,4
2018-08-04,2,"Cardi B, Bad Bunny & J Balvin",I Like It,1,2,1,16
2018-08-04,3,Maroon 5 Featuring Cardi B,Girls Like You,1,3,3,9
2018-08-04,4,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,1,-,4,1
2018-08-04,5,Post Malone,Better Now,1,7,5,13
2018-08-04,6,Drake,Nice For What,1,4,1,16
2018-08-04,7,Ella Mai,Boo'd Up,1,5,5,17
2018-08-04,8,Juice WRLD,Lucid Dreams,1,6,3,11
2018-08-04,9,Post Malone Featuring Ty Dolla $ign,Psycho,1,9,1,22
2018-08-04,10,Tyga Featuring Offset,Taste,1,13,10,9
2018-08-04,11,Ariana Grande,No Tears Left To Cry,1,8,3,14
2018-08-04,12,Taylor Swift,Delicate,1,12,12,20
2018-08-04,13,Drake,God's Plan,1,10,1,27
2018-08-04,14,Lil Baby & Drake,Yes Indeed,1,16,6,11
2018-08-04,15,"Zedd, Maren Morris & Grey",The Middle,1,14,5,26
2018-08-04,16,Marshmello & Anne-Marie,Friends,1,18,11,24
2018-08-04,17,Ed Sheeran,Perfect,2,19,1,47
2018-08-04,18,Khalid & Normani,Love Lies,1,21,18,23
2018-08-04,19,XXXTENTACION,Sad!,1,15,1,21
2018-08-04,20,Bebe Rexha & Florida Georgia Line,Meant To Be,1,17,2,39
2018-08-04,21,Ariana Grande,God Is A Woman,1,11,11,2
2018-08-04,22,Bazzi,Mine,1,22,11,27
2018-08-04,23,Shawn Mendes,In My Blood,1,23,11,19
2018-08-04,24,Dan + Shay,Tequila,2,25,21,20
2018-08-04,25,5 Seconds Of Summer,Youngblood,1,32,25,8
2018-08-04,26,Selena Gomez,Back To You,1,27,22,11
2018-08-04,27,Calvin Harris & Dua Lipa,One Kiss,1,26,26,16
2018-08-04,28,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,2,39,28,8
2018-08-04,29,Drake,Nonstop,1,20,2,4
2018-08-04,30,The Carters,Apes**t,1,28,13,6
2018-08-04,31,Lauv,I Like Me Better,1,29,29,24
2018-08-04,32,Camila Cabello,Never Be The Same,2,30,6,31
2018-08-04,33,Brett Young,Mercy,1,38,33,12
2018-08-04,34,Imagine Dragons,Whatever It Takes,2,34,12,26
2018-08-04,35,Kenny Chesney,Get Along,1,31,31,16
2018-08-04,36,Florida Georgia Line,Simple,1,36,36,8
2018-08-04,37,Imagine Dragons,Natural,1,-,37,1
2018-08-04,38,Drake,I'm Upset,1,24,7,9
2018-08-04,39,XXXTENTACION,Moonlight,3,37,13,15
2018-08-04,40,BlocBoy JB Featuring Drake,Look Alive,1,35,5,24
2018-08-04,41,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,1,42,36,14
2018-08-04,42,Jason Aldean Featuring Miranda Lambert,Drowns The Whiskey,1,48,42,6
2018-08-04,43,Jake Owen,I Was Jack (You Were Diane),1,45,43,9
2018-08-04,44,Foster The People,Sit Next To Me,1,46,42,19
2018-08-04,45,Childish Gambino,This Is America,1,40,1,12
2018-08-04,46,Cardi B,Be Careful,1,41,11,17
2018-08-04,47,Nicky Jam x J Balvin,X,1,47,41,21
2018-08-04,48,Luke Combs,One Number Away,1,49,34,19
2018-08-04,49,Thomas Rhett,Life Changes,1,54,49,5
2018-08-04,50,Keith Urban Featuring Julia Michaels,Coming Home,1,62,50,5
2018-08-04,51,XXXTENTACION,Changes,2,51,18,15
2018-08-04,52,"Benny Blanco, Halsey & Khalid",Eastside,1,56,52,2
2018-08-04,53,Drake,Mob Ties,1,43,13,4
2018-08-04,54,Drake Featuring Michael Jackson,Don't Matter To Me,1,33,9,4
2018-08-04,55,Nicki Minaj Featuring Ariana Grande,Bed,1,52,43,6
2018-08-04,56,Demi Lovato,Sober,2,-,56,2
2018-08-04,57,Chris Lane Featuring Tori Kelly,Take Back Home Girl,3,57,57,8
2018-08-04,58,Juice WRLD,All Girls Are The Same,1,55,41,11
2018-08-04,59,Luke Bryan,"Sunrise, Sunburn, Sunset",1,64,59,4
2018-08-04,60,Chance The Rapper,I Might Need Security,1,-,60,1
2018-08-04,61,Clean Bandit Featuring Demi Lovato,Solo,2,66,61,4
2018-08-04,62,Tiesto & Dzeko Featuring Preme & Post Malone,Jackie Chan,1,60,60,3
2018-08-04,63,Old Dominion,Hotel Key,1,70,63,4
2018-08-04,64,Bebe Rexha,I'm A Mess,1,92,64,2
2018-08-04,65,Queen Naija,Medicine,2,78,65,8
2018-08-04,66,Alessia Cara,Growing Pains,1,65,65,4
2018-08-04,67,Juice WRLD Featuring Lil Uzi Vert,Wasted,1,68,67,2
2018-08-04,68,Backstreet Boys,Don't Go Breaking My Heart,2,63,63,5
2018-08-04,69,Childish Gambino,Summertime Magic,1,44,44,2
2018-08-04,70,Morgan Wallen Featuring Florida Georgia Line,Up Down,1,59,49,18
2018-08-04,71,Morgan Evans,Kiss Somebody,1,74,71,4
2018-08-04,72,Becky G + Natti Natasha,Sin Pijama,2,83,72,7
2018-08-04,73,Lil Dicky Featuring Chris Brown,Freaky Friday,1,69,8,19
2018-08-04,74,Lauren Daigle,You Say,1,53,53,2
2018-08-04,75,lovelytheband,Broken,1,84,75,2
2018-08-04,76,Dylan Scott,Hooked,1,85,76,2
2018-08-04,77,Ciara,Level Up,1,-,77,1
2018-08-04,78,TK Kravitz Featuring Jacqueez,Ocean,1,87,78,2
2018-08-04,79,Kygo Featuring Miguel,Remind Me To Forget,1,94,79,2
2018-08-04,80,"Khalid, Ty Dolla $ign & 6LACK",OTW,2,75,75,13
2018-08-04,81,Daniel Caesar Featuring H.E.R.,Best Part,1,-,81,1
2018-08-04,82,G-Eazy Featuring Yo Gotti & YBN Nahmir,1942,1,90,82,2
2018-08-04,83,Post Malone Featuring Nicki Minaj,Ball For Me,1,76,16,13
2018-08-04,84,Carrie Underwood,Cry Pretty,3,81,81,7
2018-08-04,85,Martin Garrix Featuring Khalid,Ocean,2,88,85,4
2018-08-04,86,Weezer,Africa,2,-,86,2
2018-08-04,87,Cole Swindell,Break Up In The End,2,91,87,3
2018-08-04,88,twenty one pilots,Jumpsuit,1,50,50,3
2018-08-04,89,The Weeknd,Call Out My Name,1,95,4,17
2018-08-04,90,Dennis Lloyd,Nevermind,1,-,90,1
2018-08-04,91,Kanye West,All Mine,1,77,11,8
2018-08-04,92,Migos,Narcos,2,93,92,11
2018-08-04,93,Billie Eilish,You Should See Me In A Crown,1,-,93,1
2018-08-04,94,Eric Church,Desperate Man,1,71,71,2
2018-08-04,95,Wiz Khalifa Featuring Swae Lee,Hopeless Romantic,1,72,72,2
2018-08-04,96,A$AP Rocky Featuring Skepta,Praise The Lord (Da Shine),2,96,96,7
2018-08-04,97,NF,Lie,1,-,97,1
2018-08-04,98,Kane Brown,Lose It,2,-,98,2
2018-08-04,99,Drake,Emotionless,1,58,8,4
2018-08-04,100,Drake,Can't Take A Joke,1,61,18,4
2018-08-11,1,Drake,In My Feelings,1,1,1,5
2018-08-11,2,"Cardi B, Bad Bunny & J Balvin",I Like It,1,2,1,17
2018-08-11,3,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,1,4,3,2
2018-08-11,4,Maroon 5 Featuring Cardi B,Girls Like You,1,3,3,10
2018-08-11,5,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",No Brainer,1,-,5,1
2018-08-11,6,Post Malone,Better Now,1,5,5,14
2018-08-11,7,Juice WRLD,Lucid Dreams,1,8,3,12
2018-08-11,8,Ella Mai,Boo'd Up,1,7,5,18
2018-08-11,9,Tyga Featuring Offset,Taste,1,10,9,10
2018-08-11,10,Drake,Nice For What,1,6,1,17
2018-08-11,11,Post Malone Featuring Ty Dolla $ign,Psycho,1,9,1,23
2018-08-11,12,Ariana Grande,No Tears Left To Cry,1,11,3,15
2018-08-11,13,Taylor Swift,Delicate,1,12,12,21
2018-08-11,14,Lil Baby & Drake,Yes Indeed,1,14,6,12
2018-08-11,15,Khalid & Normani,Love Lies,1,18,15,24
2018-08-11,16,Drake,God's Plan,1,13,1,28
2018-08-11,17,"Zedd, Maren Morris & Grey",The Middle,1,15,5,27
2018-08-11,18,Ed Sheeran,Perfect,2,17,1,48
2018-08-11,19,Bebe Rexha & Florida Georgia Line,Meant To Be,1,20,2,40
2018-08-11,20,Marshmello & Anne-Marie,Friends,1,16,11,25
2018-08-11,21,XXXTENTACION,Sad!,1,19,1,22
2018-08-11,22,Kenny Chesney,Get Along,1,35,22,17
2018-08-11,23,5 Seconds Of Summer,Youngblood,1,25,23,9
2018-08-11,24,Bazzi,Mine,1,22,11,28
2018-08-11,25,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,2,28,25,9
2018-08-11,26,Selena Gomez,Back To You,1,26,22,12
2018-08-11,27,Ariana Grande,God Is A Woman,1,21,11,3
2018-08-11,28,Dan + Shay,Tequila,2,24,21,21
2018-08-11,29,Drake,Nonstop,1,29,2,5
2018-08-11,30,Calvin Harris & Dua Lipa,One Kiss,1,27,26,17
2018-08-11,31,Shawn Mendes,In My Blood,1,23,11,20
2018-08-11,32,Brett Young,Mercy,1,33,32,13
2018-08-11,33,Lauv,I Like Me Better,1,31,29,25
2018-08-11,34,Florida Georgia Line,Simple,1,36,34,9
2018-08-11,35,The Carters,Apes**t,1,30,13,7
2018-08-11,36,Camila Cabello,Never Be The Same,2,32,6,32
2018-08-11,37,Imagine Dragons,Whatever It Takes,2,34,12,27
2018-08-11,38,XXXTENTACION,Moonlight,3,39,13,16
2018-08-11,39,Jason Aldean Featuring Miranda Lambert,Drowns The Whiskey,1,42,39,7
2018-08-11,40,BlocBoy JB Featuring Drake,Look Alive,1,40,5,25
2018-08-11,41,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,1,41,36,15
2018-08-11,42,Imagine Dragons,Natural,1,37,37,2
2018-08-11,43,Cardi B,Be Careful,1,46,11,18
2018-08-11,44,"Benny Blanco, Halsey & Khalid",Eastside,1,52,44,3
2018-08-11,45,Drake,I'm Upset,1,38,7,10
2018-08-11,46,Thomas Rhett,Life Changes,1,49,46,6
2018-08-11,47,Demi Lovato,Sober,2,56,47,3
2018-08-11,48,Foster The People,Sit Next To Me,1,44,42,20
2018-08-11,49,Luke Combs,One Number Away,1,48,34,20
2018-08-11,50,Luke Bryan,"Sunrise, Sunburn, Sunset",1,59,50,5
2018-08-11,51,Keith Urban Featuring Julia Michaels,Coming Home,1,50,50,6
2018-08-11,52,Childish Gambino,This Is America,1,45,1,13
2018-08-11,53,Bebe Rexha,I'm A Mess,1,64,53,3
2018-08-11,54,Queen Naija,Medicine,2,65,54,9
2018-08-11,55,Chris Lane Featuring Tori Kelly,Take Back Home Girl,3,57,55,9
2018-08-11,56,XXXTENTACION,Changes,2,51,18,16
2018-08-11,57,Juice WRLD,All Girls Are The Same,1,58,41,12
2018-08-11,58,Clean Bandit Featuring Demi Lovato,Solo,2,61,58,5
2018-08-11,59,Ciara,Level Up,1,77,59,2
2018-08-11,60,Old Dominion,Hotel Key,1,63,60,5
2018-08-11,61,Tiesto & Dzeko Featuring Preme & Post Malone,Jackie Chan,1,62,60,4
2018-08-11,62,Jake Owen,I Was Jack (You Were Diane),1,43,43,10
2018-08-11,63,Nicki Minaj Featuring Ariana Grande,Bed,1,55,43,7
2018-08-11,64,Drake,Mob Ties,1,53,13,5
2018-08-11,65,Backstreet Boys,Don't Go Breaking My Heart,2,68,63,6
2018-08-11,66,Drake Featuring Michael Jackson,Don't Matter To Me,1,54,9,5
2018-08-11,67,Morgan Evans,Kiss Somebody,1,71,67,5
2018-08-11,68,Weezer,Africa,2,86,68,3
2018-08-11,69,lovelytheband,Broken,1,75,69,3
2018-08-11,70,Becky G + Natti Natasha,Sin Pijama,2,72,70,8
2018-08-11,71,Alessia Cara,Growing Pains,1,66,65,5
2018-08-11,72,Dylan Scott,Hooked,1,76,72,3
2018-08-11,73,Morgan Wallen Featuring Florida Georgia Line,Up Down,1,70,49,19
2018-08-11,74,Kygo Featuring Miguel,Remind Me To Forget,1,79,74,3
2018-08-11,75,Juice WRLD Featuring Lil Uzi Vert,Wasted,1,67,67,3
2018-08-11,76,TK Kravitz Featuring Jacqueez,Ocean,1,78,76,3
2018-08-11,77,G-Eazy Featuring Yo Gotti & YBN Nahmir,1942,1,82,77,3
2018-08-11,78,Lauren Daigle,You Say,1,74,53,3
2018-08-11,79,Childish Gambino,Summertime Magic,1,69,44,3
2018-08-11,80,Logic Featuring Ryan Tedder,One Day,1,-,80,1
2018-08-11,81,Carrie Underwood,Cry Pretty,3,84,81,8
2018-08-11,82,Daniel Caesar Featuring H.E.R.,Best Part,1,81,81,2
2018-08-11,83,Lil Dicky Featuring Chris Brown,Freaky Friday,1,73,8,20
2018-08-11,84,A$AP Rocky Featuring Skepta,Praise The Lord (Da Shine),2,96,84,8
2018-08-11,85,Cole Swindell,Break Up In The End,2,87,85,4
2018-08-11,86,Dennis Lloyd,Nevermind,1,90,86,2
2018-08-11,87,The Chainsmokers Featuring Emily Warren,Side Effects,1,-,87,1
2018-08-11,88,"Khalid, Ty Dolla $ign & 6LACK",OTW,2,80,75,14
2018-08-11,89,Post Malone Featuring Nicki Minaj,Ball For Me,1,83,16,14
2018-08-11,90,NF,Lie,1,97,90,2
2018-08-11,91,Migos,Narcos,2,92,91,12
2018-08-11,92,Yella Beezy,That's On Me,1,-,92,1
2018-08-11,93,Eric Church,Desperate Man,1,94,71,3
2018-08-11,94,Kane Brown,Lose It,2,98,94,3
2018-08-11,95,The Weeknd,Call Out My Name,1,89,4,18
2018-08-11,96,Kanye West,All Mine,1,91,11,9
2018-08-11,97,Martin Garrix Featuring Khalid,Ocean,2,85,85,5
2018-08-11,98,Queen Naija,Karma,2,-,98,2
2018-08-11,99,YG Featuring A$AP Rocky,Handgun,1,-,99,1
2018-08-11,100,Mitchell Tenpenny,Drunk Me,1,-,100,1
2018-08-18,1,Drake,In My Feelings,1,1,1,6
2018-08-18,2,Maroon 5 Featuring Cardi B,Girls Like You,1,4,2,11
2018-08-18,3,"Cardi B, Bad Bunny & J Balvin",I Like It,1,2,1,18
2018-08-18,4,Travis Scott,Sicko Mode,1,-,4,1
2018-08-18,5,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,1,3,3,3
2018-08-18,6,Post Malone,Better Now,1,6,5,15
2018-08-18,7,Juice WRLD,Lucid Dreams,1,7,3,13
2018-08-18,8,Travis Scott,Stargazing,1,-,8,1
2018-08-18,9,Tyga Featuring Offset,Taste,1,9,9,11
2018-08-18,10,Ella Mai,Boo'd Up,1,8,5,19
2018-08-18,11,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",No Brainer,1,5,5,2
2018-08-18,12,Drake,Nice For What,1,10,1,18
2018-08-18,13,Post Malone Featuring Ty Dolla $ign,Psycho,1,11,1,24
2018-08-18,14,Ariana Grande,No Tears Left To Cry,1,12,3,16
2018-08-18,15,Khalid & Normani,Love Lies,1,15,15,25
2018-08-18,16,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,2,25,16,10
2018-08-18,17,Taylor Swift,Delicate,1,13,12,22
2018-08-18,18,Lil Baby & Drake,Yes Indeed,1,14,6,13
2018-08-18,19,"Zedd, Maren Morris & Grey",The Middle,1,17,5,28
2018-08-18,20,Bebe Rexha & Florida Georgia Line,Meant To Be,1,19,2,41
2018-08-18,21,Ed Sheeran,Perfect,2,18,1,49
2018-08-18,22,5 Seconds Of Summer,Youngblood,1,23,22,10
2018-08-18,23,Drake,God's Plan,1,16,1,29
2018-08-18,24,Travis Scott,Carousel,1,-,24,1
2018-08-18,25,Travis Scott,Yosemite,1,-,25,1
2018-08-18,26,Travis Scott,R.I.P Screw,1,-,26,1
2018-08-18,27,Travis Scott,Stop Trying To Be God,1,-,27,1
2018-08-18,28,XXXTENTACION,Sad!,1,21,1,23
2018-08-18,29,Drake,Nonstop,1,29,2,6
2018-08-18,30,Travis Scott,Wake Up,1,-,30,1
2018-08-18,31,Travis Scott,No Bystanders,1,-,31,1
2018-08-18,32,Marshmello & Anne-Marie,Friends,1,20,11,26
2018-08-18,33,Selena Gomez,Back To You,1,26,22,13
2018-08-18,34,Brett Young,Mercy,1,32,32,14
2018-08-18,35,Bazzi,Mine,1,24,11,29
2018-08-18,36,Travis Scott,5% Tint,1,-,36,1
2018-08-18,37,Dan + Shay,Tequila,2,28,21,22
2018-08-18,38,Travis Scott,Can't Say,1,-,38,1
2018-08-18,39,Ariana Grande,God Is A Woman,1,27,11,4
2018-08-18,40,Calvin Harris & Dua Lipa,One Kiss,1,30,26,18
2018-08-18,41,Travis Scott,NC-17,1,-,41,1
2018-08-18,42,Shawn Mendes,In My Blood,1,31,11,21
2018-08-18,43,Travis Scott,Who? What!,1,-,43,1
2018-08-18,44,Kenny Chesney,Get Along,1,22,22,18
2018-08-18,45,Florida Georgia Line,Simple,1,34,34,10
2018-08-18,46,Camila Cabello,Never Be The Same,2,36,6,33
2018-08-18,47,Travis Scott,Skeletons,1,-,47,1
2018-08-18,48,Travis Scott,Astrothunder,1,-,48,1
2018-08-18,49,Lauv,I Like Me Better,1,33,29,26
2018-08-18,50,Travis Scott,Butterfly Effect,2,-,50,23
2018-08-18,51,The Carters,Apes**t,1,35,13,8
2018-08-18,52,Jason Aldean Featuring Miranda Lambert,Drowns The Whiskey,1,39,39,8
2018-08-18,53,Travis Scott,Houstonfornication,1,-,53,1
2018-08-18,54,Imagine Dragons,Natural,1,42,37,3
2018-08-18,55,"Benny Blanco, Halsey & Khalid",Eastside,1,44,44,4
2018-08-18,56,Thomas Rhett,Life Changes,1,46,46,7
2018-08-18,57,Luke Bryan,"Sunrise, Sunburn, Sunset",1,50,50,6
2018-08-18,58,XXXTENTACION,Moonlight,3,38,13,17
2018-08-18,59,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,1,41,36,16
2018-08-18,60,Bazzi Featuring Camila Cabello,Beautiful,1,-,60,1
2018-08-18,61,Cardi B,Be Careful,1,43,11,19
2018-08-18,62,Bebe Rexha,I'm A Mess,1,53,53,4
2018-08-18,63,Ciara,Level Up,1,59,59,3
2018-08-18,64,Old Dominion,Hotel Key,1,60,60,6
2018-08-18,65,Drake,I'm Upset,1,45,7,11
2018-08-18,66,Clean Bandit Featuring Demi Lovato,Solo,2,58,58,6
2018-08-18,67,Chris Lane Featuring Tori Kelly,Take Back Home Girl,3,55,55,10
2018-08-18,68,Travis Scott,Coffee Bean,1,-,68,1
2018-08-18,69,Juice WRLD,All Girls Are The Same,1,57,41,13
2018-08-18,70,G-Eazy Featuring Yo Gotti & YBN Nahmir,1942,1,77,70,4
2018-08-18,71,Queen Naija,Medicine,2,54,54,10
2018-08-18,72,Tiesto & Dzeko Featuring Preme & Post Malone,Jackie Chan,1,61,60,5
2018-08-18,73,Weezer,Africa,2,68,68,4
2018-08-18,74,lovelytheband,Broken,1,69,69,4
2018-08-18,75,Backstreet Boys,Don't Go Breaking My Heart,2,65,63,7
2018-08-18,76,H.E.R. Featuring Bryson Tiller,Could've Been,1,-,76,1
2018-08-18,77,Morgan Evans,Kiss Somebody,1,67,67,6
2018-08-18,78,XXXTENTACION,Changes,2,56,18,17
2018-08-18,79,Ella Mai,Trip,1,-,79,1
2018-08-18,80,Childish Gambino,This Is America,1,52,1,14
2018-08-18,81,Kygo Featuring Miguel,Remind Me To Forget,1,74,74,4
2018-08-18,82,Dylan Scott,Hooked,1,72,72,4
2018-08-18,83,Alessia Cara,Growing Pains,1,71,65,6
